id,buffer,class,metric,value
4,2500,1,pd,0.30565616737731727
4,2500,1,ed,33.69859245334923
4,2500,1,split,1.8149191054233609
4,2800,1,pland,85.19750063945627
4,2800,1,pd,0.36540358826323677
4,2800,1,ed,31.911913374989346
4,2800,1,split,1.9128461463946789
5,100,1,pland,91.66666666666666
5,100,1,pd,30.864197530864203
5,100,1,ed,37.03703703703704
5,100,1,split,1.1900826446280992
5,400,1,pland,86.12099644128115
5,400,1,pd,3.9541320680110714
5,400,1,ed,35.587188612099645
5,400,1,split,2.356060153965507
5,700,1,pland,84.58844133099825
5,700,1,pd,1.945903872348706
5,700,1,ed,28.60478692352598
5,700,1,split,2.65397879435517
5,1000,1,pland,85.74291440022903
5,1000,1,pd,0.95428953144384
5,1000,1,ed,24.620669911251074
5,1000,1,split,1.37575368188251
5,1300,1,pland,89.17316164012199
5,1300,1,pd,0.3765202003087466
5,1300,1,ed,27.109454422229756
5,1300,1,split,1.261397491784292
5,1600,1,pland,91.20080500894454
5,1600,1,pd,0.49691910157026437
5,1600,1,ed,23.55396541443053
5,1600,1,split,1.2055197172100742
5,1900,1,pland,91.67526386794698
5,1900,1,pd,0.7054113871033162
5,1900,1,ed,26.320662381292486
5,1900,1,split,1.2048091556183669
5,2200,1,pland,92.10183540556542
5,2200,1,pd,0.32892572857048874
5,2200,1,ed,24.25498322478784
5,2200,1,split,1.1806837830106338
5,2500,1,pland,91.9246113633237
5,2500,1,pd,0.35666427192084094
5,2500,1,ed,22.469849131012978
5,2500,1,split,1.1855409995111696
5,2800,1,pland,91.95935821059173
5,2800,1,pd,0.3654837177003764
5,2800,1,ed,22.53816259152321
5,2800,1,split,1.1844010279184773
6,100,1,pland,100
6,100,1,pd,30.864197530864203
6,100,1,ed,0
6,100,1,split,1
6,400,1,pland,85.02673796791443
6,400,1,pd,3.9611804317686667
6,400,1,ed,36.8389780154486
6,400,1,split,1.5230032180793145
6,700,1,pland,85.68925233644859
6,700,1,pd,1.2980269989615787
6,700,1,ed,49.649532710280376
6,700,1,split,2.6579101770613707
6,1000,1,pland,90.63841969653593
6,1000,1,pd,0.95428953144384
6,1000,1,ed,31.300696631357955
6,1000,1,split,2.376929286978626
6,1300,1,pland,91.4111468744706
6,1300,1,pd,0.5646846236376983
6,1300,1,ed,25.919024224970354
6,1300,1,split,2.2546602559017437
6,1600,1,pland,92.83238286928325
6,1600,1,pd,0.4969746667163641
6,1600,1,ed,21.543851802154386
6,1600,1,split,2.1863016410565157
6,1900,1,pland,93.080463418505
6,1900,1,pd,0.3526777054788482
6,1900,1,ed,20.763899910067188
6,1900,1,split,2.3429724004425148
6,2200,1,pland,92.80260432080497
6,2200,1,pd,0.32882838446614715
6,2200,1,ed,18.920785242182106
6,2200,1,split,2.473044033792729
6,2500,1,pland,93.56229079737723
6,2500,1,pd,0.25473683137950187
6,2500,1,ed,17.25587295764746
6,2500,1,split,2.245076906404477
6,2800,1,pland,94.26618915363251
6,2800,1,pd,0.28423394890285697
6,2800,1,ed,16.201335087462844
6,2800,1,split,1.126224258456002
7,100,1,pland,100
7,100,1,pd,32.6797385620915
7,100,1,ed,0
7,100,1,split,1
7,400,1,pland,97.86096256684492
7,400,1,pd,1.9805902158843338
7,400,1,ed,10.695187165775403
7,400,1,split,1.0441936158141478
7,700,1,pland,88.42105263157896
7,700,1,pd,1.949317738791423
7,700,1,ed,29.82456140350877
7,700,1,split,1.2841412225976534
7,1000,1,pland,81.65137614678899
7,1000,1,pd,2.2298674821610605
7,1000,1,ed,43.48241590214068
7,1000,1,split,1.592956403580142
7,1300,1,pland,63.483717774762546
7,1300,1,pd,3.7690336197798886
7,1300,1,ed,50.26006331976481
7,1300,1,split,2.7730400339183285
7,1600,1,pland,51.35467980295566
7,1600,1,pd,5.473453749315818
7,1600,1,ed,53.47813106433796
7,1600,1,split,4.77696622146065
7,1900,1,pland,46.80851063829788
7,1900,1,pd,5.469108358914647
7,1900,1,ed,56.340637239335244
7,1900,1,split,6.84504672179489
7,2200,1,pland,43.060161061108474
7,2200,1,pd,6.381914837623033
7,2200,1,ed,60.1610611084794
7,2200,1,split,9.258254371615086
7,2500,1,pland,38.95002292526364
7,2500,1,pd,7.03041418309644
7,2500,1,ed,60.23230933822406
7,2500,1,split,12.366301334200399
7,2800,1,pland,37.14954125086815
7,2800,1,pd,7.676280293891874
7,2800,1,ed,63.164820704024564
7,2800,1,split,16.10067800700616
8,100,1,pland,100
8,100,1,pd,31.746031746031743
8,100,1,ed,0
8,100,1,split,1
8,400,1,pland,94.77477477477477
8,400,1,pd,2.002002002002002
8,400,1,ed,10.810810810810812
8,400,1,split,1.1133058161893334
8,700,1,pland,69.65436438195664
8,700,1,pd,0.6509145349215648
8,700,1,ed,22.456551454793985
8,700,1,split,2.061120263474901
8,1000,1,pland,44.638761467889914
8,1000,1,pd,0.31855249745158004
8,1000,1,ed,21.980122324159023
8,1000,1,split,5.018520787262363
8,1300,1,pland,32.456735663386496
8,1300,1,pd,0.18851562794555674
8,1300,1,ed,18.097500282773446
8,1300,1,split,9.492712393180724
8,1600,1,pland,26.01880877742947
8,1600,1,pd,0.2487933522416281
8,1600,1,ed,14.517092103299
8,1600,1,split,14.784237435442238
8,1900,1,pland,21.223193010325655
8,1900,1,pd,0.17650692789691996
8,1900,1,ed,13.290971670638074
8,1900,1,split,22.217931491530564
8,2200,1,pland,17.214619986967595
8,2200,1,pd,0.13164043730953273
8,2200,1,ed,11.827893292261518
8,2200,1,split,33.76789702982311
8,2500,1,pland,14.148131162577393
8,2500,1,pd,0.15287013681877246
8,2500,1,ed,10.272873194221509
8,2500,1,split,50.15238758570829
8,2800,1,pland,12.201989176539419
8,2800,1,pd,0.12188581736629128
8,2800,1,ed,9.068304812052071
8,2800,1,split,67.40635750050897
9,100,1,pland,80
9,100,1,pd,31.746031746031743
9,100,1,ed,47.61904761904762
9,100,1,split,1.5624999999999998
9,400,1,pland,56.4748201438849
9,400,1,pd,3.9968025579536373
9,400,1,ed,61.15107913669065
9,400,1,split,5.973873386411069
9,700,1,pland,47.981275599765944
9,700,1,pd,1.9504583577140628
9,700,1,ed,52.66237565827969
9,700,1,split,9.635331648643122
9,1000,1,pland,44.476327116212346
9,1000,1,pd,2.550613741431532
9,1000,1,ed,62.07556193208991
9,1000,1,split,14.263027910155742
9,1300,1,pland,41.6058394160584
9,1300,1,pd,3.017786076689489
9,1300,1,ed,59.24291291801053
9,1300,1,split,18.565105143242917
9,1600,1,pland,42.60295434198746
9,1600,1,pd,2.4868198547697205
9,1600,1,ed,57.147120262608176
9,1600,1,split,17.50808804199375
9,1900,1,pland,40.72574241702398
9,1900,1,pd,2.470312141584176
9,1900,1,ed,49.573871155576725
9,1900,1,split,20.641825583167417
9,2200,1,pland,38.282870178349235
9,2200,1,pd,1.909238740429118
9,2200,1,ed,44.75518950840394
9,2200,1,split,24.751458736739682
9,2500,1,pland,34.683300463239
9,2500,1,pd,1.7836485295091908
9,2500,1,ed,40.85064746441621
9,2500,1,split,31.67947578377197
9,2800,1,pland,30.685973380137487
9,2800,1,pd,1.5438870199730226
9,2800,1,ed,37.272682950611866
9,2800,1,split,43.29378885388838
10,100,1,pland,82.85714285714285
10,100,1,pd,31.746031746031743
10,100,1,ed,104.76190476190476
10,100,1,split,1.4565992865636148
10,400,1,pland,24.9554367201426
10,400,1,pd,1.9805902158843338
10,400,1,ed,49.31669637551991
10,400,1,split,16.05719387755102
10,700,1,pland,19.871420222092347
