id,buffer,class,metric,value
183,2500,1,split,1.0346680838443907
183,2200,1,pland,97.95350827153452
183,2200,1,pd,0.15845851556062623
183,2200,1,ed,190.1977562274197
183,2200,1,split,1.0425249788591564
183,1900,1,pland,97.72748973551036
183,1900,1,pd,0.21218583235197386
183,1900,1,ed,186.25672363856268
183,1900,1,split,1.047457093560284
183,1600,1,pland,97.54209668658338
183,1600,1,pd,0.3017683626048645
183,1600,1,ed,190.6572514937534
183,1600,1,split,1.0516171801740908
183,1300,1,pland,97.04789430222957
183,1300,1,pd,0.6881365262868153
183,1300,1,ed,185.72804844481146
183,1300,1,split,1.064931140597808
183,1000,1,pland,96.00424328147102
183,1000,1,pd,1.178689297501179
183,1000,1,ed,190.71192833569071
183,1000,1,split,1.0873745011692126
183,700,1,pland,93.38842975206612
183,700,1,pd,1.669588446447951
183,700,1,ed,188.07913849236164
183,700,1,split,1.1503007950859854
183,400,1,pland,95.70135746606334
183,400,1,pd,5.027652086475616
183,400,1,ed,177.22473604826544
183,400,1,split,1.1022257327428135
183,100,1,pland,100
183,100,1,pd,34.72222222222222
183,100,1,ed,0
183,100,1,split,1
182,2800,1,pland,98.48063899982637
182,2800,1,pd,0.2894020952711698
182,2800,1,ed,186.780112288013
182,2800,1,split,1.033278751236797
182,2500,1,pland,98.92531480677378
182,2500,1,pd,0.18092343320306845
182,2500,1,ed,185.68171949630914
182,2500,1,split,1.0228549798396094
182,2200,1,pland,98.92270024484085
182,2200,1,pd,0.23318176518596248
182,2200,1,ed,183.16427655357353
182,2200,1,split,1.0232009780691966
182,1900,1,pland,98.72168436883165
182,1900,1,pd,0.3133126546981233
182,1900,1,ed,183.82053451138893
182,1900,1,split,1.027825265369505
182,1600,1,pland,98.19076759345484
182,1600,1,pd,0.44343931532969716
182,1600,1,ed,185.57935346547825
182,1600,1,split,1.039723892110903
182,1300,1,pland,97.48529709997972
182,1300,1,pd,0.675995403231258
182,1300,1,ed,187.99432163861286
182,1300,1,split,1.0562057268328457
182,1000,1,pland,97.73188896411646
182,1000,1,pd,0.37613781689611075
182,1000,1,ed,183.70570977206052
182,1000,1,split,1.0469535508422605
182,700,1,pland,100
182,700,1,pd,0.7605141075366947
182,700,1,ed,0
182,700,1,split,1
182,400,1,pland,100
182,400,1,pd,2.3245002324500232
182,400,1,ed,0
182,400,1,split,1
182,100,1,pland,100
182,100,1,pd,38.31417624521073
182,100,1,ed,0
182,100,1,split,1
181,2800,1,pland,29.331436699857754
181,2800,1,pd,5.373794847479059
181,2800,1,ed,93.58305674095148
181,2800,1,split,30.5849023986824
181,2500,1,pland,31.04256854256855
181,2500,1,pd,5.7452835230613015
181,2500,1,ed,97.78338945005612
181,2500,1,split,22.472799856693197
181,2200,1,pland,35.952361921509066
181,2200,1,pd,6.4831836872441135
181,2200,1,ed,114.29941651346815
